Unnamed: 0,epoch,train_accuracy,val_accuracy,train_loss,val_loss,mode_size,infer_time
,0,0.01532101167315175,0.01708984375,4.447613716125488,4.59130334854126,23753912,0.02949247121810913
,1,0.03349951361867704,0.056640625,4.504153728485107,4.882707595825195,23753912,0.02994396209716797
,2,0.055812256809338524,0.0732421875,3.970643997192383,3.873467206954956,23753912,0.02999171018600464
,3,0.0806785019455253,0.0927734375,4.218341827392578,3.5995264053344727,23753912,0.02998863697052002
,4,0.1088886186770428,0.1494140625,3.8453431129455566,3.2667269706726074,23753912,0.02995342493057251
,5,0.1407465953307393,0.150390625,3.542656421661377,3.505795955657959,23753912,0.029963819980621337
,6,0.18008268482490272,0.17919921875,2.8868069648742676,3.208847999572754,23753912,0.029987094402313234
,7,0.21121108949416342,0.21630859375,2.874448776245117,2.7088308334350586,23753912,0.02995032787322998
,8,0.2501215953307393,0.24609375,3.3269739151000977,2.2219300270080566,23753912,0.029961762428283693
,9,0.29079523346303504,0.34130859375,2.7087388038635254,2.2351737022399902,23753912,0.02994781970977783
,10,0.3206468871595331,0.37158203125,2.916407346725464,2.3900792598724365,23753912,0.029961791038513184
,11,0.3551799610894942,0.37158203125,3.213468551635742,2.6041746139526367,23753912,0.02997152805328369
,12,0.3747568093385214,0.39892578125,2.593215227127075,2.3207507133483887,23753912,0.029951398372650147
,13,0.3990150778210117,0.43115234375,2.5640347003936768,0.9202206134796143,23753912,0.029960052967071535
,14,0.4238205252918288,0.41796875,1.8637944459915161,1.0553925037384033,23753912,0.029956567287445068
,15,0.43841196498054474,0.4462890625,2.1643667221069336,1.4147268533706665,23753912,0.029969727993011473
,16,0.4651629377431907,0.443359375,2.078369379043579,1.9623051881790161,23753912,0.029957997798919677
,17,0.47312743190661477,0.4189453125,1.9553909301757812,1.5700631141662598,23753912,0.029981136322021484
,18,0.49270428015564205,0.4599609375,1.8144845962524414,1.9028247594833374,23753912,0.029964818954467773
,19,0.5018847276264592,0.4765625,2.4473838806152344,1.539431095123291,23753912,0.029969942569732667
,20,0.5201240272373541,0.49560546875,1.1839749813079834,1.299837589263916,23753912,0.029968926906585692
,21,0.5286964980544747,0.47021484375,1.64516282081604,1.430518388748169,23753912,0.0299684739112854
,22,0.5414640077821011,0.521484375,1.6074950695037842,1.7708466053009033,23753912,0.029972403049468993
,23,0.5573929961089494,0.517578125,1.5341399908065796,1.2102912664413452,23753912,0.02995070219039917
,24,0.5658438715953308,0.52880859375,1.71365225315094,1.2100566625595093,23753912,0.029984657764434815
,25,0.5727748054474708,0.53955078125,1.4626625776290894,1.20857834815979,23753912,0.029977805614471435
,26,0.5876094357976653,0.54052734375,1.2992674112319946,1.5074533224105835,23753912,0.029971492290496827
,27,0.5930812256809338,0.55859375,1.4747835397720337,1.308573603630066,23753912,0.02997040271759033
,28,0.6071862840466926,0.51904296875,0.9611495733261108,0.9278066158294678,23753912,0.029958808422088624
,29,0.6167923151750972,0.53857421875,1.1216588020324707,1.7327394485473633,23753912,0.029942491054534913
,30,0.6235408560311284,0.56982421875,1.8736377954483032,1.6424574851989746,23753912,0.029954667091369628
,31,0.6318093385214008,0.54638671875,1.085004448890686,1.5128155946731567,23753912,0.029947648048400877
,32,0.6447592412451362,0.54296875,1.792093276977539,1.6157788038253784,23753912,0.029988651275634767
,33,0.6494406614785992,0.58447265625,1.1475592851638794,1.4377952814102173,23753912,0.029948925971984862
,34,0.6631201361867705,0.5849609375,1.2032091617584229,1.4963126182556152,23753912,0.029973251819610594
,35,0.6671935797665369,0.54931640625,1.0723763704299927,1.5266467332839966,23753912,0.029963672161102295
,36,0.6673151750972762,0.55908203125,1.1720192432403564,1.2272753715515137,23753912,0.029962012767791747
,37,0.678137159533074,0.587890625,1.389012336730957,1.907320261001587,23753912,0.02995931148529053
,38,0.6863448443579766,0.58740234375,1.5660170316696167,1.0727667808532715,23753912,0.029984006881713866
,39,0.6963156614785992,0.5810546875,1.409475326538086,1.2520169019699097,23753912,0.029969282150268554
,40,0.7036721789883269,0.564453125,0.7949461936950684,1.6012028455734253,23753912,0.029944193363189698
